CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Actual_Churn,Predicted_Churn,Churn_Probability
15687492,596,Germany,Male,32,3,96709.07,2,0,0,41788.37,,,0.05308966
15736963,623,France,Male,43,1,0.0,2,1,1,146379.3,,,0.009476265
15721730,601,Spain,Female,44,4,0.0,2,1,0,58561.31,1.0,1.0,0.27650243
15762134,506,Germany,Male,59,8,119152.1,2,1,1,170679.74,,,0.074961975
15648898,560,Spain,Female,27,7,124995.98,1,1,1,114669.79,,,0.17753835
15659064,790,Spain,Male,37,8,0.0,2,1,1,149418.41,,,0.0048438786
15761986,439,Spain,Female,32,3,138901.61,1,1,0,75685.97,0.0,0.0,0.10346749
15713354,597,Germany,Female,22,6,101528.61,1,1,0,70529.0,,,0.35005093
15593454,678,Spain,Female,40,4,113794.22,1,1,0,16618.76,,,0.2607466
15690134,464,Germany,Female,42,3,85679.25,1,1,1,164104.74,1.0,1.0,0.56803703
15767474,481,France,Female,57,9,0.0,3,1,1,169719.35,,,0.9992192
15785367,651,France,Female,56,4,0.0,1,0,0,84383.22,,,0.9620378
15587507,850,France,Male,47,6,0.0,1,1,0,187391.02,,,0.74735785
15569764,687,Germany,Female,41,2,154007.21,1,1,0,158408.23,,,0.49719915
15665062,696,France,Male,19,1,110928.51,1,1,1,2766.63,,,0.002481821
15759966,612,Spain,Female,36,5,119799.27,2,1,0,159416.58,,,0.31463152
15576352,586,Spain,Female,57,3,0.0,2,0,1,6057.81,1.0,1.0,0.029288003
15713604,425,Germany,Male,40,9,166776.6,2,0,1,172646.88,,,0.044711493
15596797,643,Spain,Male,43,1,0.0,2,1,1,145764.4,,,0.0125275375
15744127,641,France,Female,37,2,0.0,2,1,0,3939.87,,,0.027298696
15589420,795,France,Female,40,2,101891.1,1,1,1,183044.86,,,0.029315256
15727546,762,France,Male,35,9,0.0,2,1,1,43075.7,,,0.0038882259
15696373,687,France,Female,44,9,0.0,2,0,0,103042.2,,,0.1701422
15656319,850,Spain,Male,37,4,88141.1,1,1,0,109659.12,,,0.104871005
15670354,753,France,Female,62,6,0.0,2,1,1,136398.9,,,0.057926014
15673020,678,France,Female,49,3,204510.94,1,0,1,738.88,,,0.69031155
15771139,578,Germany,Male,34,8,147487.23,2,1,0,66680.77,0.0,1.0,0.05649945
15572174,825,France,Male,29,3,148874.01,2,0,1,71192.82,,,0.004893909
15674868,696,Spain,Female,30,0,0.0,2,1,1,9002.8,,,0.050458428
15630244,457,France,Male,40,10,134320.23,2,1,0,150757.35,,,0.02091502
15678910,680,France,Female,30,8,141441.75,1,1,1,16278.97,1.0,0.0,0.022438798
15767793,819,France,Female,38,10,0.0,2,1,0,30498.7,,,0.06536035
15695499,510,France,Female,45,10,103821.47,2,0,1,77878.62,,,0.17291723
